#       time        depth temperature spcrust spharz opcrust opharz adiabatic_temperature adiabatic_pressure adiabatic_density adiabatic_density_derivative velocity_magnitude sinking_velocity viscosity vertical_heat_flux vertical_mass_flux spcrust_mass spharz_mass opcrust_mass opharz_mass
           0       317900      1700.59            0            0            0            0       1690.8  9.56885e+09      3299.88  -4.2567e-05            0            0  4.66772e+20   0.00172838            0            0            0            0            0
           0       375700       1725.4            0            0            0            0      1715.56  1.15036e+10      3299.87 -3.55052e-08            0            0  7.62291e+20   0.00175736            0            0            0            0            0
           0       433500      1749.63            0            0            0            0      1740.73  1.34426e+10      3306.53   0.00184299            0            0  1.20798e+21   0.00182305            0            0            0            0            0
           0       491300      1774.24            0            0            0            0      1766.31  1.54318e+10      3394.39 -4.60102e-05            0            0  1.90789e+21    0.0018636            0            0            0            0            0
           0       549100      1800.22            0            0            0            0      1792.29  1.74314e+10      3399.82   0.00168398            0            0   3.0256e+21    0.0019117            0            0            0            0            0
           0       606900      1826.62            0            0            0            0      1818.69  1.94585e+10      3452.92  3.61841e-05            0            0  4.75045e+21   0.00195536            0            0            0            0            0
           0       664700      1853.42            0            0            0            0      1845.49  2.14965e+10      3454.85   0.00233365            0            0  1.21811e+23   0.00207152            0            0            0            0            0
           0       722500      1879.56            0            0            0            0      1872.71   2.3658e+10      3771.94  5.48718e-05            0            0  2.17381e+23   0.00219836            0            0            0            0            0
           0       780300      1907.12            0            0            0            0       1900.3  2.58836e+10      3771.99 -5.51035e-05            0            0   2.3412e+23   0.00222868            0            0            0            0            0
           0       838100      1935.06            0            0            0            0      1928.28  2.81073e+10      3771.84 -3.76652e-08            0            0  2.50411e+23   0.00225939            0            0            0            0            0
           0       895900      1961.19            0            0            0            0      1956.64  3.03291e+10      3771.87 -5.66106e-05            0            0  2.64801e+23   0.00228809            0            0            0            0            0
           0       953700      1989.87            0            0            0            0       1985.4  3.25489e+10      3771.87  5.73784e-05            0            0  2.79464e+23   0.00231964            0            0            0            0            0
           0   1.0115e+06      2018.95            0            0            0            0      2014.55  3.47669e+10      3771.93  5.81607e-05            0            0  2.93061e+23   0.00235174            0            0            0            0            0
           0   1.0693e+06      2048.44            0            0            0            0      2044.12  3.69834e+10         3772  5.89585e-05            0            0  3.05309e+23   0.00238447            0            0            0            0            0
           0   1.1271e+06      2078.33            0            0            0            0      2074.09  3.91983e+10      3771.83 -4.07069e-08            0            0  3.16141e+23   0.00241769            0            0            0            0            0
           0   1.1849e+06       2106.3            0            0            0            0      2104.49  4.14118e+10      3771.87 -6.06694e-05            0            0  3.24738e+23   0.00244875            0            0            0            0            0
           0   1.2427e+06         2137            0            0            0            0      2135.31  4.36241e+10      3771.82 -4.26263e-08            0            0  3.32399e+23    0.0024834            0            0            0            0            0
           0   1.3005e+06      2168.14            0            0            0            0      2166.57  4.58354e+10      3771.82 -4.32022e-08            0            0  3.38362e+23   0.00251859            0            0            0            0            0
