#       time        depth temperature sp_upper sp_lower plate_edge adiabatic_temperature adiabatic_pressure adiabatic_density adiabatic_density_derivative velocity_magnitude sinking_velocity rising_velocity viscosity log_viscosity vertical_heat_flux vertical_mass_flux sp_upper_mass sp_lower_mass plate_edge_mass
           0   1.9363e+06      2532.58            0            0            0      2533.77  6.96985e+10      3771.97  1.47423e-05            0            0            0  3.06344e+22      22.4862   0.00298333            0            0            0            0
           0   1.9941e+06      2571.82            0            0            0      2571.81  7.19662e+10      3771.92  -2.9816e-05            0            0            0  2.96365e+22      22.4718   0.00306112            0            0            0            0
           0   2.0519e+06      2610.55            0            0            0       2610.5  7.42379e+10      3771.87 -3.05404e-05            0            0            0  2.88348e+22      22.4599    0.0030382            0            0            0            0
           0   2.1097e+06      2649.85            0            0            0      2649.85  7.65142e+10       3771.9  -7.5788e-08            0            0            0  2.78115e+22      22.4442   0.00310795            0            0            0            0
           0   2.1675e+06      2685.83            0            0            0      2685.83  7.85669e+10      3771.92  1.97024e-05            0            0            0   2.6793e+22       22.428   0.00315586            0            0            0            0
           0   2.2253e+06      2722.41            0            0            0      2722.41  8.06243e+10      3771.87  4.18245e-08            0            0            0  2.57366e+22      22.4105    0.0032076            0            0            0            0
           0   2.2831e+06      2763.74            0            0            0      2763.74   8.2917e+10       3771.9   -1.136e-07            0            0            0  2.45057e+22      22.3892   0.00326604            0            0            0            0
           0   2.3409e+06      2805.83            0            0            0      2805.83  8.52167e+10      3771.88  1.63957e-05            0            0            0  2.32535e+22      22.3664   0.00332677            0            0            0            0
           0   2.3987e+06      2848.71            0            0            0      2848.71  8.75241e+10      3771.86  1.59997e-08            0            0            0  2.19705e+22      22.3418    0.0033895            0            0            0            0
           0   2.4565e+06         2888            0            0            0         2888  8.96089e+10      3771.87  -2.1401e-05            0            0            0  2.08202e+22      22.3184   0.00345074            0            0            0            0
           0   2.5143e+06      2928.03            0            0            0      2928.03  9.17025e+10      3771.85  -1.7449e-05            0            0            0  1.96579e+22      22.2935   0.00351204            0            0            0            0
           0   2.5721e+06      2973.33            0            0            0      2973.33  9.40385e+10      3771.86 -1.78486e-05            0            0            0  1.83893e+22      22.2645   0.00358388            0            0            0            0
           0   2.6299e+06      3019.58            0            0            0      3019.58  9.63866e+10      3771.86 -1.82659e-05            0            0            0  1.71292e+22      22.2336   0.00365975            0            0            0            0
           0   2.6877e+06      3066.82            0            0            0      3066.82  9.87486e+10      3771.82 -1.86083e-05            0            0            0  1.59063e+22      22.2015   0.00373959            0            0            0            0
           0   2.7455e+06      3112.65            0            0            0      3112.64  1.01005e+11      3771.79  3.13832e-05            0            0            0  1.47675e+22      22.1692   0.00381699            0            0            0            0
           0   2.8033e+06      3156.97            0            0            0      3156.97  1.03157e+11      3771.84  1.06859e-05            0            0            0  1.37232e+22      22.1374   0.00389694            0            0            0            0
           0   2.8611e+06      3001.78            0            0            0      3204.78  1.05444e+11      3771.84 -9.92677e-06            0            0            0  2.67036e+23      22.5942   -0.0923577            0            0            0            0
           0        28900      904.271     0.013693     0.126873    0.0130453      1584.02  9.27911e+08      3299.95 -2.09636e-06            0            0            0   6.4829e+22        22.13    0.0770078            0      43.4974      416.594      43.1078
           0        86700      1509.19  0.000809922    0.0231165    0.0130395      1606.29  2.78668e+09      3299.94 -3.20099e-08            0            0            0  1.90681e+21      19.8543    0.0185811            0      2.60002      75.6403      43.0402
           0       144500      1622.71  0.000645083   0.00251022    0.0130579      1629.52  4.69793e+09      3299.93 -1.48973e-06            0            0            0  1.81916e+21      19.6276   0.00277523            0      2.14296      8.29608      43.0925
           0       202300      1649.75  0.000543107   0.00164978   0.00739534       1652.7  6.57834e+09      3299.95   6.4823e-06            0            0            0  1.60067e+21      19.8048   0.00169015            0      1.92322      5.47971      24.4053
           0       260100      1674.76            0   2.3706e-05            0      1676.08  8.44744e+09      3299.93  3.04638e-06            0            0            0  1.53767e+20      19.9802   0.00183698            0            0    0.0783867            0
           0       317900      1700.69            0            0            0      1700.76  1.03933e+10      3299.94 -3.30642e-08            0            0            0  1.44029e+20      20.1555   0.00175546            0            0            0            0
           0       375700      1724.91            0            0            0      1724.91  1.22701e+10      3299.95  4.06128e-06            0            0            0  2.09603e+20      20.3192    0.0017568            0            0            0            0
           0       433500      1749.65            0            0            0      1749.65  1.41802e+10      3368.33   0.00160131            0            0            0   3.0154e+20      20.4768   0.00182185            0            0            0            0
           0       491300      1774.78            0            0            0      1774.78  1.61301e+10      3394.33  3.60986e-06            0            0            0  4.28986e+20      20.6305   0.00186421            0            0            0            0
           0       549100      1800.09            0            0            0      1800.09  1.80752e+10      3427.93  0.000908275            0            0            0  5.99965e+20       20.776   0.00191139            0            0            0            0
           0       606900      1826.79            0            0            0      1826.79  2.01211e+10      3452.76  0.000115697            0            0            0  8.39703e+20      20.9222   0.00195557            0            0            0            0
           0       664700      1852.89            0            0            0      1852.89  2.21161e+10      3594.82   0.00575172            0            0            0   1.1109e+22      21.8873   0.00206682            0            0            0            0
           0       722500      1878.18            0            0            0      1878.18   2.4145e+10      3771.89  1.54017e-05            0            0            0   1.7474e+22      22.2423   0.00219681            0            0            0            0
